2458275.71224 17.704 0.013 3.96 285.0
2458276.58303 17.686 0.018 6.27 370.0
2458276.83941 17.707 0.015 4.41 380.0
2458277.77844 17.686 0.013 4.51 269.0
2458278.60759 17.705 0.013 4.51 286.0
2458282.66888 17.698 0.012 4.05 206.0
2458283.52760 17.698 0.018 5.80 377.0
2458283.78757 17.693 0.013 4.26 306.0
2458284.62233 17.725 0.014 5.17 241.0
2458284.88450 17.717 0.017 5.37 373.0
2458286.63696 17.677 0.012 4.62 197.0
2458287.52386 17.684 0.016 5.89 335.0
2458287.81137 17.712 0.012 4.28 211.0
2458288.68001 17.705 0.012 4.30 206.0
2458289.54940 17.681 0.014 5.30 316.0
2458289.83796 17.701 0.015 4.88 315.0
2458290.74424 17.710 0.013 4.31 252.0
2458291.67197 17.701 0.015 4.19 347.0
2458292.56517 17.682 0.017 5.70 377.0
2458292.86235 17.699 0.017 5.05 411.0
2458293.76503 17.695 0.021 6.31 525.0
2458294.82128 17.677 0.029 7.36 812.0
2458301.62976 17.743 0.023 7.04 439.0
2458302.59833 17.714 0.016 5.49 452.0
2458304.66259 17.731 0.022 7.60 322.0
2458305.67689 17.663 0.018 7.19 276.0
2458306.65671 17.686 0.019 7.71 283.0
2458307.52644 17.686 0.015 4.98 368.0
2458307.79705 17.702 0.016 5.45 339.0
2458308.66295 17.730 0.013 4.63 212.0
2458309.53259 17.681 0.013 4.88 256.0
2458309.79298 17.695 0.015 4.63 329.0
2458310.62077 17.685 0.013 4.97 246.0
2458311.46218 17.681 0.031 6.51 1274.0
2458311.72411 17.696 0.013 4.37 269.0
2458312.59380 17.692 0.013 4.85 225.0
2458313.49689 17.688 0.015 5.81 342.0
2458313.74541 17.689 0.014 3.60 337.0
2458314.63338 17.661 0.014 4.94 283.0
2458316.51104 17.684 0.016 5.47 318.0
2458320.46405 17.691 0.030 6.62 1181.0
2458320.72410 17.697 0.014 4.98 307.0
2458328.49596 17.660 0.023 6.78 533.0
2458328.73678 17.724 0.026 6.34 688.0
2458329.66328 17.696 0.016 4.38 441.0
2458330.61343 17.693 0.020 5.62 808.0
2458332.46627 17.713 0.026 5.45 999.0
2458333.46887 17.699 0.021 5.39 684.0
2458334.48807 17.677 0.018 5.85 518.0
2458335.56541 17.705 0.020 6.39 418.0
2458336.64307 17.720 0.013 4.56 197.0
2458338.72480 17.644 0.017 6.16 331.0
2458340.48307 17.662 0.015 5.45 307.0
2458341.58056 17.707 0.013 3.95 245.0
2458343.47751 17.695 0.021 6.57 472.0
2458344.70949 17.712 0.017 5.49 327.0
2458346.49633 17.683 0.019 6.69 267.0
2458347.56516 17.691 0.014 5.08 224.0
2458348.70156 17.725 0.016 4.48 383.0
2458353.57426 17.657 0.019 6.16 426.0
2458355.68526 17.735 0.023 6.11 616.0
2458357.55981 17.753 0.015 3.63 433.0
2458359.47724 17.748 0.018 4.97 498.0
2458360.57234 17.681 0.020 6.40 389.0
2458363.63012 17.660 0.014 5.93 229.0
2458366.50927 17.724 0.017 6.37 257.0
2458368.50245 17.700 0.013 4.41 286.0
2458369.65208 17.677 0.017 5.38 366.0
2458371.59771 17.698 0.016 5.47 284.0
2458373.62120 17.691 0.021 7.00 355.0
2458376.55997 17.694 0.017 5.54 371.0
2458381.48207 17.708 0.034 5.96 1481.0
2458383.51988 17.690 0.020 5.44 532.0
2458385.48850 17.711 0.014 3.57 500.0
2458390.55876 17.695 0.018 5.90 365.0
2458394.49267 17.670 0.020 6.58 361.0
2458397.53368 17.689 0.015 5.22 391.0
2458516.88284 17.664 0.025 5.50 1194.0
2458518.88457 17.594 0.030 6.15 1669.0
2458522.88558 17.615 0.015 5.20 524.0
2458523.88850 17.631 0.015 4.57 485.0
2458526.88336 17.643 0.020 7.04 393.0
2458528.86726 17.580 0.016 5.88 393.0
2458536.84268 17.618 0.015 4.59 513.0
2458537.88976 17.588 0.017 6.68 429.0
2458540.85021 17.586 0.025 4.56 1767.0
2458544.81655 17.589 0.011 4.41 277.0
2458546.83087 17.557 0.013 5.14 280.0
2458547.84515 17.565 0.013 5.86 273.0
2458548.85153 17.555 0.012 4.48 336.0
2458549.85647 17.560 0.014 6.30 278.0
2458550.87056 17.576 0.012 5.02 275.0
2458551.89190 17.559 0.015 6.38 262.0
2458553.79742 17.592 0.016 6.84 259.0
2458554.80192 17.550 0.014 5.68 288.0
2458554.89506 17.528 0.013 5.92 259.0
2458555.87486 17.553 0.012 4.58 273.0
2458556.84039 17.524 0.013 6.04 258.0
2458557.81925 17.528 0.013 5.53 273.0
2458557.91277 17.537 0.021 5.67 952.0
2458558.87418 17.528 0.013 6.31 252.0
2458559.81988 17.510 0.011 4.20 268.0
2458560.77221 17.485 0.012 4.51 450.0
2458560.88192 17.528 0.012 4.81 290.0
